us_air_transportation_american_delta_multiplex,us_air_transportation_american_delta_multiplex,us_air_transportation_american_delta_multiplex,drosophila_melanogaster_multiplex,drosophila_melanogaster_multiplex,drosophila_melanogaster_multiplex,netsci_co-authorship_multiplex,netsci_co-authorship_multiplex,netsci_co-authorship_multiplex
0,1,2,3,4,5,6,7,10.066048860549927
9,10,11,12,13,14,15,16,0.02470000241446768
