CS-Aarhus_multiplex,fao_trade_multiplex,celegans_connectome_multiplex,fb-tw,homo_genetic_multiplex,sacchpomb_genetic_multiplex,Sanremo2016_final_multiplex
0.918025016784668,1,2,3,4,5,6
0.11475409836065575,8,9,10,11,12,13
