CS-Aarhus_multiplex,fao_trade_multiplex,celegans_connectome_multiplex,fb-tw,homo_genetic_multiplex,sacchpomb_genetic_multiplex,Sanremo2016_final_multiplex
0,1,2,3,1511.8887157440186,5,6
7,8,9,10,0.027227310997505905,12,13
