CS-Aarhus_multiplex,fao_trade_multiplex,celegans_connectome_multiplex,fb-tw,homo_genetic_multiplex,sacchpomb_genetic_multiplex,Sanremo2016_final_multiplex
0,1,2,3,4,97.65814232826233,6
7,8,9,10,11,0.04866655492605498,13
