us_air_transportation_american_delta_multiplex,us_air_transportation_american_delta_multiplex,us_air_transportation_american_delta_multiplex,drosophila_melanogaster_multiplex,drosophila_melanogaster_multiplex,drosophila_melanogaster_multiplex,netsci_co-authorship_multiplex,netsci_co-authorship_multiplex,netsci_co-authorship_multiplex
0,1,2,3,4,5.979073524475098,6,7,8
9,10,11,12,13,0.05607114153534903,15,16,17
