CS-Aarhus_multiplex,fao_trade_multiplex,celegans_connectome_multiplex,fb-tw,homo_genetic_multiplex,sacchpomb_genetic_multiplex,Sanremo2016_final_multiplex
0,3.4882290363311768,2,3,4,5,6
7,0.25151324391070623,9,10,11,12,13
