us_air_transportation_american_delta_multiplex,us_air_transportation_american_delta_multiplex,us_air_transportation_american_delta_multiplex,drosophila_melanogaster_multiplex,drosophila_melanogaster_multiplex,drosophila_melanogaster_multiplex,netsci_co-authorship_multiplex,netsci_co-authorship_multiplex,netsci_co-authorship_multiplex
0,1,0.19493770599365234,3,4,5,6,7,8
9,10,0.04802770249924721,12,13,14,15,16,17
