fao_trade_multiplex,celegans_connectome_multiplex,fb-tw,sacchpomb_genetic_multiplex,homo_genetic_multiplex,Sanremo2016_final_multiplex
0,1,34.89256954193115,3,4,5
6,7,0.3097821194553418,9,10,11
