fao_trade_multiplex,celegans_connectome_multiplex,fb-tw,sacchpomb_genetic_multiplex,homo_genetic_multiplex,Sanremo2016_final_multiplex
0,1,2,3,4,1682.224314212799
6,7,8,9,10,0.001778034901233376
