CS-Aarhus_multiplex,fao_trade_multiplex,fb-tw,homo_genetic_multiplex,sacchpomb_genetic_multiplex,Sanremo2016_final_multiplex
0,1,2,3,4,3137.1665167808533
6,7,8,9,10,0.02470411657857877
