us_air_transportation_american_delta_multiplex,us_air_transportation_american_delta_multiplex,us_air_transportation_american_delta_multiplex,drosophila_melanogaster_multiplex,drosophila_melanogaster_multiplex,drosophila_melanogaster_multiplex,netsci_co-authorship_multiplex,netsci_co-authorship_multiplex,netsci_co-authorship_multiplex
0,1,2,3,4,8.776124954223633,6,7,8
9,10,11,12,13,0.09663605138888308,15,16,17
