CS-Aarhus_multiplex,fao_trade_multiplex,fb-tw,homo_genetic_multiplex,sacchpomb_genetic_multiplex,Sanremo2016_final_multiplex
0,1,2,3,280.81588983535767,5
6,7,8,9,0.16340294517545007,11
