fao_trade_multiplex,celegans_connectome_multiplex,fb-tw,homo_genetic_multiplex,sacchpomb_genetic_multiplex,Sanremo2016_final_multiplex
0,1,2,1106.193430185318,4,5
6,7,8,0.026529763444945058,10,11
