fao_trade_multiplex,celegans_connectome_multiplex,fb-tw,sacchpomb_genetic_multiplex,homo_genetic_multiplex,Sanremo2016_final_multiplex
0,1,2,3,7475.869497537613,5
6,7,8,9,0.17336842796866925,11
