fao_trade_multiplex,celegans_connectome_multiplex,drosophila_melanogaster_multiplex,fb-tw,sacchpomb_genetic_multiplex,homo_genetic_multiplex,Sanremo2016_final_multiplex
0,1.829282522201538,2,3,4,5,6
7,0.3150790723887157,9,10,11,12,13
