fao_trade_multiplex,celegans_connectome_multiplex,drosophila_melanogaster_multiplex,fb-tw,sacchpomb_genetic_multiplex,homo_genetic_multiplex,Sanremo2016_final_multiplex
0,1,2,3,314.8067388534546,5,6
7,8,9,10,0.31032193438248373,12,13
