us_air_transportation_american_delta_multiplex,celegans_connectome_multiplex,drosophila_melanogaster_multiplex,netsci_co-authorship_multiplex,sacchpomb_genetic_multiplex,homo_genetic_multiplex,Sanremo2016_final_multiplex
0,1,10.297937631607056,3,4,5,6
7,8,0.30788056356808874,10,11,12,13
