us_air_transportation_american_delta_multiplex,celegans_connectome_multiplex,drosophila_melanogaster_multiplex,netsci_co-authorship_multiplex,sacchpomb_genetic_multiplex,homo_genetic_multiplex,Sanremo2016_final_multiplex
0,1,2,3,4,5,98272.3137190342
7,8,9,10,11,12,0.25523239493776884
