us_air_transportation_american_delta_multiplex,celegans_connectome_multiplex,drosophila_melanogaster_multiplex,netsci_co-authorship_multiplex,sacchpomb_genetic_multiplex,homo_genetic_multiplex,Sanremo2016_final_multiplex
0,4.205587863922119,2,3,4,5,6
7,0.3939867127558339,9,10,11,12,13
