us_air_transportation_american_delta_multiplex,celegans_connectome_multiplex,drosophila_melanogaster_multiplex,netsci_co-authorship_multiplex,sacchpomb_genetic_multiplex,homo_genetic_multiplex,Sanremo2016_final_multiplex
0.7965900897979736,1,2,3,4,5,6
0.3260420372680975,8,9,10,11,12,13
