us_air_transportation_american_delta_multiplex,celegans_connectome_multiplex,drosophila_melanogaster_multiplex,netsci_co-authorship_multiplex,sacchpomb_genetic_multiplex,homo_genetic_multiplex,Sanremo2016_final_multiplex
0,1,2,64.18388605117798,4,5,6
7,8,9,0.30307925357755733,11,12,13
